Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Income_Group,Loan_Status_Label,Credit_Risk
LP001002,Male,No,0,Graduate,No,5849,0,128,360,1,Urban,Y,5849,High,Approved,Low Risk
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N,6091,High,Rejected,Low Risk
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y,3000,Medium,Approved,Low Risk
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y,4941,Medium,Approved,Low Risk
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y,6000,High,Approved,Low Risk
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y,9613,High,Approved,Low Risk
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y,3849,Medium,Approved,Low Risk
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N,5540,High,Rejected,High Risk
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y,5532,High,Approved,Low Risk
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N,23809,Very High,Rejected,Low Risk
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y,3900,Medium,Approved,Low Risk
LP001027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y,4340,Medium,Approved,Low Risk
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y,11179,Very High,Approved,Low Risk
LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N,4693,Medium,Rejected,Low Risk
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y,2385,Low,Approved,Low Risk
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y,4950,Medium,Approved,Low Risk
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,1,Urban,Y,3596,Medium,Approved,Low Risk
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N,3510,Medium,Rejected,High Risk
